40 5 3 480 30
0.000	0.000	0	0	0	480
-4.649	-3.925	1	3	0	1440
-2.785	1.162	1	3	0	1440
5.703	-1.239	1	3	0	1440
2.849	-2.644	1	3	0	1440
0.441	7.066	1	3	0	1440
-2.903	-7.026	1	3	0	1440
-1.453	-8.354	1	3	0	1440
1.976	-4.874	1	3	0	1440
4.550	-6.597	1	3	0	1440
-6.180	9.153	1	3	0	1440
1.692	1.008	1	3	0	1440
9.355	-3.708	1	3	0	1440
-4.386	3.038	1	3	0	1440
5.483	-2.664	1	3	0	1440
7.694	-8.784	1	3	0	1440
-3.971	4.629	1	3	0	1440
-2.978	7.711	1	3	0	1440
-2.961	-8.510	1	3	0	1440
3.262	0.589	1	3	0	1440
6.087	-4.560	1	3	0	1440
-2.185	7.550	1	3	46	61
6.019	-2.870	1	3	5	20
-6.776	7.117	1	3	329	344
-7.249	3.085	1	3	27	42
2.798	-9.750	1	3	79	94
-3.545	-4.413	1	3	60	75
-2.022	-5.988	1	3	183	198
-3.774	-6.201	1	3	256	271
-5.958	-0.135	1	3	367	382
-4.436	-4.510	1	3	171	186
-3.205	-4.345	1	3	311	326
-0.541	4.308	1	3	113	128
7.204	-4.895	1	3	179	194
3.845	0.100	1	3	16	31
-7.706	7.378	1	3	59	74
4.894	-3.245	1	3	343	358
4.907	-2.180	1	3	298	313
-7.346	-2.275	1	3	106	121
3.121	-1.908	1	3	323	338
6.644	-7.174	1	3	204	219
-7.676	-8.822	-1	3	261	276
-7.319	-1.480	-1	3	242	257
3.045	-4.028	-1	3	53	68
4.340	6.234	-1	3	308	323
8.615	-2.290	-1	3	220	235
6.964	5.916	-1	3	450	465
-8.733	4.623	-1	3	96	111
-8.162	-6.862	-1	3	262	277
8.841	-6.689	-1	3	146	161
6.160	1.176	-1	3	305	320
-8.382	-1.241	-1	3	240	255
5.856	-7.672	-1	3	292	307
0.875	-2.740	-1	3	160	175
9.236	-9.392	-1	3	94	109
5.158	-8.903	-1	3	432	447
-5.083	-4.817	-1	3	382	397
6.875	8.030	-1	3	163	178
7.385	3.331	-1	3	458	473
8.945	-3.700	-1	3	175	190
-8.217	-6.578	-1	3	95	110
-8.884	-0.970	-1	3	0	1440
5.059	0.648	-1	3	0	1440
7.670	-9.065	-1	3	0	1440
-2.026	-5.759	-1	3	0	1440
7.503	-6.613	-1	3	0	1440
9.474	1.895	-1	3	0	1440
9.710	-4.472	-1	3	0	1440
-8.453	3.356	-1	3	0	1440
6.580	-8.841	-1	3	0	1440
-6.090	8.649	-1	3	0	1440
1.447	-2.954	-1	3	0	1440
3.501	5.046	-1	3	0	1440
-6.976	-8.783	-1	3	0	1440
-2.558	7.644	-1	3	0	1440
-8.314	2.159	-1	3	0	1440
7.723	-9.617	-1	3	0	1440
-2.821	-9.438	-1	3	0	1440
0.021	6.962	-1	3	0	1440
4.167	8.226	-1	3	0	1440
2.072	-3.256	-1	3	0	1440
