Author,Best
Date,0
Score,0
solomon.c101.n101v25c200,1000000000
solomon.c102.n101v25c200,1000000000
solomon.c103.n101v25c200,1000000000
solomon.c104.n101v25c200,1000000000
solomon.c105.n101v25c200,1000000000
solomon.c106.n101v25c200,1000000000
solomon.c107.n101v25c200,1000000000
solomon.c108.n101v25c200,1000000000
solomon.c109.n101v25c200,1000000000
solomon.c201.n101v25c700,1000000000
solomon.c202.n101v25c700,1000000000
solomon.c203.n101v25c700,1000000000
solomon.c204.n101v25c700,1000000000
solomon.c205.n101v25c700,1000000000
solomon.c206.n101v25c700,1000000000
solomon.c207.n101v25c700,1000000000
solomon.c208.n101v25c700,1000000000
solomon.r101.n101v25c200,1000000000
solomon.r102.n101v25c200,1000000000
solomon.r103.n101v25c200,1000000000
solomon.r104.n101v25c200,1000000000
solomon.r105.n101v25c200,1000000000
solomon.r106.n101v25c200,1000000000
solomon.r107.n101v25c200,1000000000
solomon.r108.n101v25c200,1000000000
solomon.r109.n101v25c200,1000000000
solomon.r110.n101v25c200,1000000000
solomon.r111.n101v25c200,1000000000
solomon.r112.n101v25c200,1000000000
solomon.r201.n101v25c1000,1000000000
solomon.r202.n101v25c1000,1000000000
solomon.r203.n101v25c1000,1000000000
solomon.r204.n101v25c1000,1000000000
solomon.r205.n101v25c1000,1000000000
solomon.r206.n101v25c1000,1000000000
solomon.r207.n101v25c1000,1000000000
solomon.r208.n101v25c1000,1000000000
solomon.r209.n101v25c1000,1000000000
solomon.r210.n101v25c1000,1000000000
solomon.r211.n101v25c1000,1000000000
solomon.rc101.n101v25c200,1000000000
solomon.rc102.n101v25c200,1000000000
solomon.rc103.n101v25c200,1000000000
solomon.rc104.n101v25c200,1000000000
solomon.rc105.n101v25c200,1000000000
solomon.rc106.n101v25c200,1000000000
solomon.rc107.n101v25c200,1000000000
solomon.rc108.n101v25c200,1000000000
solomon.rc201.n101v25c1000,1000000000
solomon.rc202.n101v25c1000,1000000000
solomon.rc203.n101v25c1000,1000000000
solomon.rc204.n101v25c1000,1000000000
solomon.rc205.n101v25c1000,1000000000
